id,groupIndex,groupName,filename,isSetAsset,requiredVariants,expectedWidth,expectedHeight,dimensionConfidence,dimensionReason,prompt
g01-01,1,Brand + Shell,pkr_brand_logo_mark_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,"Generate a premium logo mark for ""Casin8 Poker Room"". Geometric, futuristic, elegant. Blend poker symbolism (subtle spade/diamond negative space) with AI circuitry cues. Emerald core glow, royal gold micro-trim, deep navy body. Deliver transparent background, crisp edges, no text, icon-only."
g01-02,1,Brand + Shell,pkr_brand_wordmark_light_v01.png,false,light,2048,2048,medium,prop-icon-standard,"Generate a wordmark ""Casin8 Poker Room"" with custom futuristic sans typography. High legibility, slightly condensed uppercase, technical micro-cuts. White/emerald primary with royal gold accent. Transparent background."
g01-03,1,Brand + Shell,pkr_shell_bg_main_desktop_idle_v01.png,false,idle,2560,1440,high,explicit-in-prompt,"Create a desktop app shell background (2560x1440) for poker. Layered deep navy-to-emerald gradient, faint nebula haze, sparse geometric constellation lines, subtle particle noise, dark vignette edges. Keep center area clean for UI panels."
g01-04,1,Brand + Shell,pkr_shell_bg_main_mobile_idle_v01.png,false,idle,1290,2796,high,explicit-in-prompt,"Create a mobile app shell background (1290x2796) matching desktop DNA: deep navy, emerald atmosphere, royal blue/purple secondary bands, subdued royal gold spark accents. Keep top and bottom safe areas visually calm for overlays."
g02-01,2,Poker Table and Environment,pkr_table_felt_6max_topdown_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,"Design a 6-max poker felt top-down table. Premium emerald felt weave, deep navy shadows, royal gold trim ring, seat cutouts with subtle glass halos. Center pot area clean and high contrast. No chips/cards baked in."
g02-02,2,Poker Table and Environment,pkr_table_felt_9max_topdown_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,"Design a 9-max tournament table top-down variant with same style DNA. Slightly wider oval, stronger rail detail, reserved dealer/button zones, anti-clutter center."
g02-03,2,Poker Table and Environment,pkr_table_rail_material_closeup_v01.png,false,closeup,2048,2048,medium,prop-icon-standard,"Create a texture plate for poker table rail materials: dark carbon, brushed metal seams, royal gold piping, faint holographic inlays. Tileable feel preferred."
g02-04,2,Poker Table and Environment,pkr_stage_cinematic_table_scene_v01.png,false,scene,2560,1440,medium,background-scene-standard,"Create an isometric cinematic poker stage scene with depth-of-field: central table pedestal, holographic HUD projectors, ambient fog, particle glints, cyborg/bot venue vibe. Keep visual hierarchy focused on table center."
g03-01,3,"Chips, Pot, and Markers",pkr_chip_denom_1_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,"Generate high-detail casino chip (denomination 1) top+angled view. White/silver base with emerald accents, embossed edge, realistic micro-scratches, transparent background."
g03-02,3,"Chips, Pot, and Markers",pkr_chip_denom_5_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,"Generate denomination 5 chip, royal red base with gold stripe geometry, same material style and lighting as set."
g03-03,3,"Chips, Pot, and Markers",pkr_chip_denom_25_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,"Generate denomination 25 chip, emerald base, technical radial inlay, precise legibility."
g03-04,3,"Chips, Pot, and Markers",pkr_chip_denom_100_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,"Generate denomination 100 chip, royal blue base, silver edge texturing, anti-counterfeit micro-pattern detail."
g03-05,3,"Chips, Pot, and Markers",pkr_chip_denom_500_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,"Generate denomination 500 chip, royal purple base with royal gold center crest, premium high-stakes look."
g03-06,3,"Chips, Pot, and Markers",pkr_chip_stack_small_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,Create small mixed-denomination chip stack with clean silhouette and soft grounded shadow.
g03-07,3,"Chips, Pot, and Markers",pkr_chip_stack_large_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,"Create large mixed-denomination chip tower with believable tilt and compression. High-end realism, transparent background."
g03-08,3,"Chips, Pot, and Markers",pkr_marker_dealer_button_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,"Design a premium dealer button marker. White core, gold rim, emerald micro-LED edge glow, engraved ""D""."
g03-09,3,"Chips, Pot, and Markers",pkr_marker_sb_bb_set_idle_v01.png,true,idle,2048,2048,medium,prop-icon-standard,"Create SB and BB blind markers as a matching pair. Distinct colors, shared style language, crisp label readability."
g03-10,3,"Chips, Pot, and Markers",pkr_marker_allin_badge_set_v01.png,true,neutral|warning|locked,2048,2048,medium,prop-icon-standard,"Create ALL-IN badge variants: neutral, warning, locked. Glass panel + metallic rim + readable typography."
g04-01,4,Cards and Card Motion Props,pkr_card_back_primary_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,"Create a premium poker card back design matching Casin8 style: deep navy base, emerald linework, royal gold center sigil, subtle royal purple/blue energy ring. Print-safe symmetry, high contrast."
g04-02,4,Cards and Card Motion Props,pkr_card_back_alt_royal_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,Create alternate card back with stronger royal red and royal blue geometry while preserving brand DNA.
g04-03,4,Cards and Card Motion Props,pkr_card_shadow_soft_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,"Generate soft contact shadow plate for cards on felt, transparent PNG, realistic but subtle."
g04-04,4,Cards and Card Motion Props,pkr_card_glow_win_fx_v01.png,false,fx,2048,2048,medium,prop-icon-standard,"Create a lightweight glow/fx overlay for winning cards: emerald + gold pulse, no heavy bloom, transparent background."
g04-05,4,Cards and Card Motion Props,pkr_card_flip_frame_01_v01.png,false,01,2048,2048,medium,prop-icon-standard,"Frame 1 of card flip motion (back-facing, slight tilt), cinematic lighting, transparent."
g04-06,4,Cards and Card Motion Props,pkr_card_flip_frame_02_v01.png,false,02,2048,2048,medium,prop-icon-standard,"Frame 2 of card flip motion (mid-rotation blur suggestion), consistent camera and lighting."
g04-07,4,Cards and Card Motion Props,pkr_card_flip_frame_03_v01.png,false,03,2048,2048,medium,prop-icon-standard,"Frame 3 of card flip motion (front-facing reveal pose), consistent framing with frame 1 and 2."
g05-01,5,"Seats, Avatars, Agent Identity",pkr_seat_ring_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,Create empty seat ring with subtle holographic halo and deep shadow; must read clearly over felt.
g05-02,5,"Seats, Avatars, Agent Identity",pkr_seat_ring_active_turn_v01.png,false,turn,2048,2048,medium,prop-icon-standard,"Create active-turn seat ring variant: animated look implied, emerald pulse channels, high clarity."
g05-03,5,"Seats, Avatars, Agent Identity",pkr_avatar_frame_human_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,"Design circular avatar frame for human players, elegant glass + metallic finish, minimal ornament."
g05-04,5,"Seats, Avatars, Agent Identity",pkr_avatar_frame_agent_idle_v01.png,false,idle,2048,2048,medium,prop-icon-standard,"Design circular avatar frame for AI agents, more technical with circuit motifs, royal blue/purple accents."
g05-05,5,"Seats, Avatars, Agent Identity",pkr_badge_agent_tier_a_v01.png,false,a,2048,2048,medium,prop-icon-standard,Create autonomy badge tier A (advisory): refined icon + label chip.
g05-06,5,"Seats, Avatars, Agent Identity",pkr_badge_agent_tier_b_v01.png,false,b,2048,2048,medium,prop-icon-standard,Create autonomy badge tier B (semi-auto): matching family style.
g05-07,5,"Seats, Avatars, Agent Identity",pkr_badge_agent_tier_c_v01.png,false,c,2048,2048,medium,prop-icon-standard,Create autonomy badge tier C (full-auto): matching family style.
g05-08,5,"Seats, Avatars, Agent Identity",pkr_badge_sponsored_player_v01.png,false,player,2048,2048,medium,prop-icon-standard,"Create sponsorship badge indicating backed agent/player. Trustworthy financial aesthetic, not gimmicky."
g06-01,6,HUD Panels and Utility Components,pkr_panel_fairness_idle_v01.png,false,idle,1600,900,medium,panel-component-standard,"Design right-rail fairness panel container: commit-reveal slots, seed hash display regions, verify CTA zone. Glassmorphism with clear information lanes."
g06-02,6,HUD Panels and Utility Components,pkr_panel_tx_lifecycle_idle_v01.png,false,idle,1600,900,medium,panel-component-standard,"Design transaction lifecycle panel with steps: submitted, pending, confirmed, failed. Include icon placeholders and status rails."
g06-03,6,HUD Panels and Utility Components,pkr_panel_ledger_row_set_v01.png,true,,1600,900,medium,panel-component-standard,"Create ledger row UI strips: default, positive result, negative result, disputed. Clean spacing and readability."
g06-04,6,HUD Panels and Utility Components,pkr_panel_network_health_set_v01.png,true,green|amber|red|unknown,1600,900,medium,panel-component-standard,"Create network health chips for API, table stream, chain RPC, wallet. States: green/amber/red/unknown."
g06-05,6,HUD Panels and Utility Components,pkr_panel_chat_feed_bg_v01.png,false,bg,2560,1440,medium,background-scene-standard,Design chat/activity feed panel background with subtle dividers and timestamp lane.
g06-06,6,HUD Panels and Utility Components,pkr_panel_sponsor_market_card_v01.png,false,card,1600,900,medium,panel-component-standard,"Design sponsor marketplace card for agent stake listings: markup, stake-for-sale, exposure cap, CTA area."
g07-01,7,Action Controls,pkr_btn_fold_set_v01.png,true,idle|hover|pressed|disabled,2048,2048,medium,prop-icon-standard,"Create Fold button set: idle/hover/pressed/disabled. Tone: serious risk action, not alarming cartoon red."
g07-02,7,Action Controls,pkr_btn_checkcall_set_v01.png,true,,2048,2048,medium,prop-icon-standard,Create Check/Call button set with balanced priority and clear hierarchy.
g07-03,7,Action Controls,pkr_btn_raise_primary_set_v01.png,true,,2048,2048,medium,prop-icon-standard,"Create Raise primary CTA set with premium emerald glow, high contrast, accessible text."
g07-04,7,Action Controls,pkr_slider_raise_track_set_v01.png,true,,2048,2048,medium,prop-icon-standard,Design raise slider track and thumb kit: idle/active/disabled plus tick marks for preset bets.
g07-05,7,Action Controls,pkr_quickbet_chip_row_v01.png,false,row,2048,2048,medium,prop-icon-standard,Create horizontal quick-bet chip row visual with selected and disabled states.
g08-01,8,Tournament-Specific Graphics,pkr_tourney_lobby_hero_bg_v01.png,false,bg,2560,1440,medium,background-scene-standard,"Design tournament lobby hero background for MTT/SNG with bracket-like geometry, leaderboard stage lighting, and registration urgency vibe."
g08-02,8,Tournament-Specific Graphics,pkr_blind_level_timeline_v01.png,false,timeline,1600,900,medium,panel-component-standard,Create blind-level timeline component skin with current level emphasis and next-level markers.
g08-03,8,Tournament-Specific Graphics,pkr_payout_ladder_panel_v01.png,false,panel,1600,900,medium,panel-component-standard,Design payout ladder panel background with rank columns and prize emphasis.
g08-04,8,Tournament-Specific Graphics,pkr_final_table_banner_v01.png,false,banner,1600,900,medium,panel-component-standard,Create dramatic final-table banner overlay with premium royal gold accents and controlled celebration energy.
g08-05,8,Tournament-Specific Graphics,pkr_elimination_burst_fx_v01.png,false,fx,2048,2048,medium,prop-icon-standard,"Create subtle elimination FX overlay (not explosive arcade), transparent PNG."
g09-01,9,"Trust, Error, and Resilience States",pkr_state_reconnecting_banner_v01.png,false,banner,1600,900,medium,panel-component-standard,"Design reconnecting banner: calm amber warning, concise status slot, retry control placeholder."
g09-02,9,"Trust, Error, and Resilience States",pkr_state_chain_mismatch_card_v01.png,false,card,2048,2048,medium,prop-icon-standard,Design chain mismatch modal card with clear corrective action area.
g09-03,9,"Trust, Error, and Resilience States",pkr_state_insufficient_funds_card_v01.png,false,card,2048,2048,medium,prop-icon-standard,Design insufficient funds card with top-up callout and quick funding action area.
g09-04,9,"Trust, Error, and Resilience States",pkr_state_duplicate_action_guard_v01.png,false,guard,2048,2048,medium,prop-icon-standard,Create compact duplicate-action prevented indicator badge for action bar/HUD.
g09-05,9,"Trust, Error, and Resilience States",pkr_state_settlement_pending_overlay_v01.png,false,overlay,2048,2048,medium,prop-icon-standard,Create settlement pending overlay panel with trust-preserving tone and progress lane.
g10-01,10,Mobile-First Specific Assets,pkr_mobile_bottom_action_sheet_v01.png,false,sheet,1600,900,medium,panel-component-standard,Design mobile sticky action sheet background with zones for Fold/Check-Call/Raise + slider + quick chips.
g10-02,10,Mobile-First Specific Assets,pkr_mobile_tabbar_pokerroom_v01.png,false,pokerroom,1600,900,medium,panel-component-standard,"Design bottom tab bar for poker app sections (Lobby, Tables, Tourneys, Sponsorship, Wallet), with active/inactive states."
g10-03,10,Mobile-First Specific Assets,pkr_mobile_hud_drawer_handle_v01.png,false,handle,2048,2048,medium,prop-icon-standard,Design HUD drawer handle and collapsed chip for fairness/health quick status.
g10-04,10,Mobile-First Specific Assets,pkr_mobile_table_header_compact_v01.png,false,compact,1600,900,medium,panel-component-standard,"Design compact table header strip: blinds, pot, network ping, fair badge."
