assetCode,groupName,currentIssue,requiredWidth,requiredHeight,requiredVariants,canonicalFilename,basePrompt
pkr_brand_logo_mark_idle_v01,Brand + Shell,Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,idle,pkr_brand_logo_mark_idle_v01.png,"Generate a premium logo mark for ""Casin8 Poker Room"". Geometric, futuristic, elegant. Blend poker symbolism (subtle spade/diamond negative space) with AI circuitry cues. Emerald core glow, royal gold micro-trim, deep navy body. Deliver transparent background, crisp edges, no text, icon-only."
pkr_brand_wordmark_light_v01,Brand + Shell,Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,light,pkr_brand_wordmark_light_v01.png,"Generate a wordmark ""Casin8 Poker Room"" with custom futuristic sans typography. High legibility, slightly condensed uppercase, technical micro-cuts. White/emerald primary with royal gold accent. Transparent background."
pkr_shell_bg_main_desktop_idle_v01,Brand + Shell,Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2560,1440,idle,pkr_shell_bg_main_desktop_idle_v01.png,"Create a desktop app shell background (2560x1440) for poker. Layered deep navy-to-emerald gradient, faint nebula haze, sparse geometric constellation lines, subtle particle noise, dark vignette edges. Keep center area clean for UI panels."
pkr_shell_bg_main_mobile_idle_v01,Brand + Shell,Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,1290,2796,idle,pkr_shell_bg_main_mobile_idle_v01.png,"Create a mobile app shell background (1290x2796) matching desktop DNA: deep navy, emerald atmosphere, royal blue/purple secondary bands, subdued royal gold spark accents. Keep top and bottom safe areas visually calm for overlays."
pkr_table_felt_6max_topdown_idle_v01,Poker Table and Environment,Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,idle,pkr_table_felt_6max_topdown_idle_v01.png,"Design a 6-max poker felt top-down table. Premium emerald felt weave, deep navy shadows, royal gold trim ring, seat cutouts with subtle glass halos. Center pot area clean and high contrast. No chips/cards baked in."
pkr_table_felt_9max_topdown_idle_v01,Poker Table and Environment,Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,idle,pkr_table_felt_9max_topdown_idle_v01.png,"Design a 9-max tournament table top-down variant with same style DNA. Slightly wider oval, stronger rail detail, reserved dealer/button zones, anti-clutter center."
pkr_table_rail_material_closeup_v01,Poker Table and Environment,Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,closeup,pkr_table_rail_material_closeup_v01.png,"Create a texture plate for poker table rail materials: dark carbon, brushed metal seams, royal gold piping, faint holographic inlays. Tileable feel preferred."
pkr_stage_cinematic_table_scene_v01,Poker Table and Environment,Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2560,1440,scene,pkr_stage_cinematic_table_scene_v01.png,"Create an isometric cinematic poker stage scene with depth-of-field: central table pedestal, holographic HUD projectors, ambient fog, particle glints, cyborg/bot venue vibe. Keep visual hierarchy focused on table center."
pkr_chip_denom_1_idle_v01,"Chips, Pot, and Markers",Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,idle,pkr_chip_denom_1_idle_v01.png,"Generate high-detail casino chip (denomination 1) top+angled view. White/silver base with emerald accents, embossed edge, realistic micro-scratches, transparent background."
pkr_chip_denom_5_idle_v01,"Chips, Pot, and Markers",Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,idle,pkr_chip_denom_5_idle_v01.png,"Generate denomination 5 chip, royal red base with gold stripe geometry, same material style and lighting as set."
pkr_chip_denom_100_idle_v01,"Chips, Pot, and Markers",Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,idle,pkr_chip_denom_100_idle_v01.png,"Generate denomination 100 chip, royal blue base, silver edge texturing, anti-counterfeit micro-pattern detail."
pkr_chip_denom_500_idle_v01,"Chips, Pot, and Markers",Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,idle,pkr_chip_denom_500_idle_v01.png,"Generate denomination 500 chip, royal purple base with royal gold center crest, premium high-stakes look."
pkr_chip_stack_small_idle_v01,"Chips, Pot, and Markers",Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,idle,pkr_chip_stack_small_idle_v01.png,Create small mixed-denomination chip stack with clean silhouette and soft grounded shadow.
pkr_chip_stack_large_idle_v01,"Chips, Pot, and Markers",Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,idle,pkr_chip_stack_large_idle_v01.png,"Create large mixed-denomination chip tower with believable tilt and compression. High-end realism, transparent background."
pkr_marker_dealer_button_idle_v01,"Chips, Pot, and Markers",Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,idle,pkr_marker_dealer_button_idle_v01.png,"Design a premium dealer button marker. White core, gold rim, emerald micro-LED edge glow, engraved ""D""."
pkr_marker_sb_bb_set_idle_v01,"Chips, Pot, and Markers",Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,idle,pkr_marker_sb_bb_set_idle_v01.png,"Create SB and BB blind markers as a matching pair. Distinct colors, shared style language, crisp label readability."
pkr_marker_allin_badge_set_v01,"Chips, Pot, and Markers",Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,neutral|warning|locked,pkr_marker_allin_badge_set_v01.png,"Create ALL-IN badge variants: neutral, warning, locked. Glass panel + metallic rim + readable typography."
pkr_card_back_primary_idle_v01,Cards and Card Motion Props,Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,idle,pkr_card_back_primary_idle_v01.png,"Create a premium poker card back design matching Casin8 style: deep navy base, emerald linework, royal gold center sigil, subtle royal purple/blue energy ring. Print-safe symmetry, high contrast."
pkr_card_back_alt_royal_idle_v01,Cards and Card Motion Props,Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,idle,pkr_card_back_alt_royal_idle_v01.png,Create alternate card back with stronger royal red and royal blue geometry while preserving brand DNA.
pkr_card_shadow_soft_idle_v01,Cards and Card Motion Props,Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,idle,pkr_card_shadow_soft_idle_v01.png,"Generate soft contact shadow plate for cards on felt, transparent PNG, realistic but subtle."
pkr_card_glow_win_fx_v01,Cards and Card Motion Props,Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,fx,pkr_card_glow_win_fx_v01.png,"Create a lightweight glow/fx overlay for winning cards: emerald + gold pulse, no heavy bloom, transparent background."
pkr_card_flip_frame_01_v01,Cards and Card Motion Props,Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,01,pkr_card_flip_frame_01_v01.png,"Frame 1 of card flip motion (back-facing, slight tilt), cinematic lighting, transparent."
pkr_card_flip_frame_02_v01,Cards and Card Motion Props,Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,02,pkr_card_flip_frame_02_v01.png,"Frame 2 of card flip motion (mid-rotation blur suggestion), consistent camera and lighting."
pkr_card_flip_frame_03_v01,Cards and Card Motion Props,Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,03,pkr_card_flip_frame_03_v01.png,"Frame 3 of card flip motion (front-facing reveal pose), consistent framing with frame 1 and 2."
pkr_seat_ring_idle_v01,"Seats, Avatars, Agent Identity",Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,idle,pkr_seat_ring_idle_v01.png,Create empty seat ring with subtle holographic halo and deep shadow; must read clearly over felt.
pkr_seat_ring_active_turn_v01,"Seats, Avatars, Agent Identity",Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,turn,pkr_seat_ring_active_turn_v01.png,"Create active-turn seat ring variant: animated look implied, emerald pulse channels, high clarity."
pkr_avatar_frame_human_idle_v01,"Seats, Avatars, Agent Identity",Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,idle,pkr_avatar_frame_human_idle_v01.png,"Design circular avatar frame for human players, elegant glass + metallic finish, minimal ornament."
pkr_avatar_frame_agent_idle_v01,"Seats, Avatars, Agent Identity",Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,idle,pkr_avatar_frame_agent_idle_v01.png,"Design circular avatar frame for AI agents, more technical with circuit motifs, royal blue/purple accents."
pkr_badge_agent_tier_a_v01,"Seats, Avatars, Agent Identity",Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,a,pkr_badge_agent_tier_a_v01.png,Create autonomy badge tier A (advisory): refined icon + label chip.
pkr_badge_agent_tier_b_v01,"Seats, Avatars, Agent Identity",Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,b,pkr_badge_agent_tier_b_v01.png,Create autonomy badge tier B (semi-auto): matching family style.
pkr_badge_agent_tier_c_v01,"Seats, Avatars, Agent Identity",Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,c,pkr_badge_agent_tier_c_v01.png,Create autonomy badge tier C (full-auto): matching family style.
pkr_badge_sponsored_player_v01,"Seats, Avatars, Agent Identity",Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,2048,2048,player,pkr_badge_sponsored_player_v01.png,"Create sponsorship badge indicating backed agent/player. Trustworthy financial aesthetic, not gimmicky."
pkr_panel_fairness_idle_v01,HUD Panels and Utility Components,Encoded as JPEG content with .png extension; wrong dimensions (2752x1536); likely no transparency,1600,900,idle,pkr_panel_fairness_idle_v01.png,"Design right-rail fairness panel container: commit-reveal slots, seed hash display regions, verify CTA zone. Glassmorphism with clear information lanes."
